ecosystem,mapcode,bioregion,biome,threat_status,protection_level
Central Inland Shale Band Vegetation,FFb3,Western Fynbos-Renosterveld Bioregion,Fynbos,Least Concern,Well Protected
Central Knersvlakte Vygieveld,SKk2,Knersvlakte Bioregion,Succulent Karoo,Least Concern,Well Protected
Central Mountain Shale Renosterveld,FRs5,Karoo Renosterveld Bioregion,Fynbos,Least Concern,Not Protected
Central Richtersveld Mountain Shrubland,SKr1,Richtersveld Bioregion,Succulent Karoo,Least Concern,Well Protected
Central Ruens Shale Renosterveld,FRs12,East Coast Renosterveld Bioregion,Fynbos,Critically Endangered,Not Protected
Central Sandy Bushveld,SVcb12,Central Bushveld Bioregion,Savanna,Least Concern,Poorly Protected
Ceres Shale Renosterveld,FRs4,Western Fynbos-Renosterveld Bioregion,Fynbos,Vulnerable,Poorly Protected
Citrusdal Shale Renosterveld,FRs20,Eastern Fynbos-Renosterveld Bioregion,Fynbos,Critically Endangered,Not Protected
Citrusdal Vygieveld,SKk7,Knersvlakte Bioregion,Succulent Karoo,Least Concern,Poorly Protected
Crocodile Gorge Mountain Bushveld,SVl27,Lowveld Bioregion,Savanna,Least Concern,Moderately Protected
Crossroads Grassland Thicket,AT23,Albany Thicket,Albany Thicket,Least Concern,Moderately Protected
De Hoop Limestone Fynbos,FFl2,South Coast Fynbos Bioregion,Fynbos,Least Concern,Moderately Protected
Delagoa Lowveld,SVl4,Lowveld Bioregion,Savanna,Least Concern,Moderately Protected
Die Plate Succulent Shrubland,SKr10,Richtersveld Bioregion,Succulent Karoo,Least Concern,Not Protected
Doringrivier Quartzite Karoo,SKv1,Rainshadow Valley Karoo Bioregion,Succulent Karoo,Least Concern,Not Protected
Doubledrift Karroid Thicket,AT24,Albany Thicket,Albany Thicket,Least Concern,Poorly Protected
Drakensberg Afroalpine Heathland,Gd10,Drakensberg Grassland Bioregion,Grassland,Least Concern,Poorly Protected
Drakensberg Foothill Moist Grassland,Gs10,Sub-Escarpment Grassland Bioregion,Grassland,Least Concern,Poorly Protected
Drakensberg-Amathole Afromontane Fynbos,Gd6,Drakensberg Grassland Bioregion,Grassland,Least Concern,Well Protected
Dry Coast Hinterland Grassland,Gs19,Sub-Escarpment Grassland Bioregion,Grassland,Vulnerable,Not Protected
Dwaalboom Thornveld,SVcb1,Central Bushveld Bioregion,Savanna,Least Concern,Moderately Protected
Dwarsberg-Swartruggens Mountain Bushveld,SVcb4,Central Bushveld Bioregion,Savanna,Least Concern,Poorly Protected
East Griqualand Grassland,Gs12,Sub-Escarpment Grassland Bioregion,Grassland,Least Concern,Poorly Protected
